mesh_points,iterations,probability,threads,seed,disable_display,game_type,execution_time
100,100,0.200000,1,42,1,0,0.000187
100,100,0.200000,1,42,1,1,0.000003
100,100,0.200000,1,123,1,0,0.000002
100,100,0.200000,1,123,1,1,0.000002
100,100,0.200000,1,37,1,0,0.000002
100,100,0.200000,1,37,1,1,0.000002
100,100,0.300000,1,42,1,0,0.000002
100,100,0.300000,1,42,1,1,0.000002
100,100,0.300000,1,123,1,0,0.000002
100,100,0.300000,1,123,1,1,0.000002
100,100,0.300000,1,37,1,0,0.000002
100,100,0.300000,1,37,1,1,0.000002
100,100,0.400000,1,42,1,0,0.000002
100,100,0.400000,1,42,1,1,0.000002
100,100,0.400000,1,123,1,0,0.000002
100,100,0.400000,1,123,1,1,0.000002
100,100,0.400000,1,37,1,0,0.000002
100,100,0.400000,1,37,1,1,0.000002
100,100,0.500000,1,42,1,0,0.000002
100,100,0.500000,1,42,1,1,0.000002
100,100,0.500000,1,123,1,0,0.000002
100,100,0.500000,1,123,1,1,0.000002
100,100,0.500000,1,37,1,0,0.000002
100,100,0.500000,1,37,1,1,0.000002
100,100,0.600000,1,42,1,0,0.000002
100,100,0.600000,1,42,1,1,0.000002
100,100,0.600000,1,123,1,0,0.000002
100,100,0.600000,1,123,1,1,0.000002
100,100,0.600000,1,37,1,0,0.000002
100,100,0.600000,1,37,1,1,0.000002
100,100,0.700000,1,42,1,0,0.000002
100,100,0.700000,1,42,1,1,0.000002
100,100,0.700000,1,123,1,0,0.000002
100,100,0.700000,1,123,1,1,0.000002
100,100,0.700000,1,37,1,0,0.000002
100,100,0.700000,1,37,1,1,0.000002
100,100,0.800000,1,42,1,0,0.000002
100,100,0.800000,1,42,1,1,0.000002
100,100,0.800000,1,123,1,0,0.000002
100,100,0.800000,1,123,1,1,0.000002
100,100,0.800000,1,37,1,0,0.000002
100,100,0.800000,1,37,1,1,0.000002
100,100,0.900000,1,42,1,0,0.000002
100,100,0.900000,1,42,1,1,0.000002
100,100,0.900000,1,123,1,0,0.000002
100,100,0.900000,1,123,1,1,0.000002
100,100,0.900000,1,37,1,0,0.000002
100,100,0.900000,1,37,1,1,0.000002
100,100,0.000000,1,42,1,0,0.000002
100,100,0.000000,1,42,1,1,0.000002
100,100,0.000000,1,123,1,0,0.000002
100,100,0.000000,1,123,1,1,0.000002
100,100,0.000000,1,37,1,0,0.000002
100,100,0.000000,1,37,1,1,0.000002
100,200,0.200000,1,42,1,0,0.000002
100,200,0.200000,1,42,1,1,0.000002
100,200,0.200000,1,123,1,0,0.000002
100,200,0.200000,1,123,1,1,0.000002
100,200,0.200000,1,37,1,0,0.000002
100,200,0.200000,1,37,1,1,0.000002
100,200,0.300000,1,42,1,0,0.000002
100,200,0.300000,1,42,1,1,0.000002
100,200,0.300000,1,123,1,0,0.000002
100,200,0.300000,1,123,1,1,0.000002
100,200,0.300000,1,37,1,0,0.000002
100,200,0.300000,1,37,1,1,0.000002
100,200,0.400000,1,42,1,0,0.000002
100,200,0.400000,1,42,1,1,0.000002
100,200,0.400000,1,123,1,0,0.000002
100,200,0.400000,1,123,1,1,0.000002
100,200,0.400000,1,37,1,0,0.000002
100,200,0.400000,1,37,1,1,0.000002
100,200,0.500000,1,42,1,0,0.000002
100,200,0.500000,1,42,1,1,0.000002
100,200,0.500000,1,123,1,0,0.000002
100,200,0.500000,1,123,1,1,0.000002
100,200,0.500000,1,37,1,0,0.000002
100,200,0.500000,1,37,1,1,0.000002
100,200,0.600000,1,42,1,0,0.000002
100,200,0.600000,1,42,1,1,0.000002
100,200,0.600000,1,123,1,0,0.000002
