Program,n,i,s,p,Threads,Time (s),Output Match
life,100,100,1234,0.2,,,N/A
life,100,100,1234,0.4,,,N/A
life,100,100,5678,0.2,,,N/A
life,100,100,5678,0.4,,,N/A
life,100,200,1234,0.2,,,N/A
life,100,200,1234,0.4,,,N/A
life,100,200,5678,0.2,,,N/A
life,100,200,5678,0.4,,,N/A
life,100,300,1234,0.2,,,N/A
life,100,300,1234,0.4,,,N/A
life,100,300,5678,0.2,,,N/A
life,100,300,5678,0.4,,,N/A
life,100,400,1234,0.2,,,N/A
life,100,400,1234,0.4,,,N/A
life,100,400,5678,0.2,,,N/A
life,100,400,5678,0.4,,,N/A
life,200,100,1234,0.2,,,N/A
life,200,100,1234,0.4,,,N/A
life,200,100,5678,0.2,,,N/A
life,200,100,5678,0.4,,,N/A
life,200,200,1234,0.2,,,N/A
life,200,200,1234,0.4,,,N/A
life,200,200,5678,0.2,,,N/A
life,200,200,5678,0.4,,,N/A
life,200,300,1234,0.2,,,N/A
life,200,300,1234,0.4,,,N/A
life,200,300,5678,0.2,,,N/A
life,200,300,5678,0.4,,,N/A
life,200,400,1234,0.2,,,N/A
life,200,400,1234,0.4,,,N/A
life,200,400,5678,0.2,,,N/A
life,200,400,5678,0.4,,,N/A
life,300,100,1234,0.2,,,N/A
life,300,100,1234,0.4,,,N/A
life,300,100,5678,0.2,,,N/A
life,300,100,5678,0.4,,,N/A
life,300,200,1234,0.2,,,N/A
life,300,200,1234,0.4,,,N/A
life,300,200,5678,0.2,,,N/A
life,300,200,5678,0.4,,,N/A
life,300,300,1234,0.2,,,N/A
life,300,300,1234,0.4,,,N/A
life,300,300,5678,0.2,,,N/A
life,300,300,5678,0.4,,,N/A
life,300,400,1234,0.2,,,N/A
life,300,400,1234,0.4,,,N/A
life,300,400,5678,0.2,,,N/A
life,300,400,5678,0.4,,,N/A
life,400,100,1234,0.2,,,N/A
life,400,100,1234,0.4,,,N/A
life,400,100,5678,0.2,,,N/A
life,400,100,5678,0.4,,,N/A
life,400,200,1234,0.2,,,N/A
life,400,200,1234,0.4,,,N/A
life,400,200,5678,0.2,,,N/A
life,400,200,5678,0.4,,,N/A
life,400,300,1234,0.2,,,N/A
life,400,300,1234,0.4,,,N/A
life,400,300,5678,0.2,,,N/A
life,400,300,5678,0.4,,,N/A
life,400,400,1234,0.2,,,N/A
life,400,400,1234,0.4,,,N/A
life,400,400,5678,0.2,,,N/A
life,400,400,5678,0.4,,,N/A
pthread_life,100,100,1234,0.2,1,1.591071638998983,No
pthread_life,100,100,1234,0.2,2,1.718350035000185,No
pthread_life,100,100,1234,0.2,4,1.6506143459992018,No
pthread_life,100,100,1234,0.2,8,1.6109333550011797,No
pthread_life,100,100,1234,0.2,16,1.7231304070010083,No
pthread_life,100,100,1234,0.4,1,1.8176906740009144,No
pthread_life,100,100,1234,0.4,2,1.567230066000775,No
pthread_life,100,100,1234,0.4,4,1.783401299999241,No
pthread_life,100,100,1234,0.4,8,1.5900583549992007,No
pthread_life,100,100,1234,0.4,16,1.5605732090007223,No
pthread_life,100,100,5678,0.2,1,1.557126691997837,No
pthread_life,100,100,5678,0.2,2,1.736991906996991,No
pthread_life,100,100,5678,0.2,4,1.6703136630021618,No
pthread_life,100,100,5678,0.2,8,1.661514906998491,No
pthread_life,100,100,5678,0.2,16,1.5360379190024105,No
pthread_life,100,100,5678,0.4,1,1.7416330209998705,No
pthread_life,100,100,5678,0.4,2,1.6418287790002069,No
pthread_life,100,100,5678,0.4,4,1.861767977999989,No
pthread_life,100,100,5678,0.4,8,1.6420231320007588,No
pthread_life,100,100,5678,0.4,16,1.6130058259986981,No
pthread_life,100,200,1234,0.2,1,1.6602548459995887,No
pthread_life,100,200,1234,0.2,2,1.8515354720002506,No
pthread_life,100,200,1234,0.2,4,1.7655752480022784,No
pthread_life,100,200,1234,0.2,8,1.8528872289971332,No
pthread_life,100,200,1234,0.2,16,1.766709969000658,No
pthread_life,100,200,1234,0.4,1,1.7254105949978111,No
pthread_life,100,200,1234,0.4,2,1.6453604340022139,No
pthread_life,100,200,1234,0.4,4,1.814599494999129,No
pthread_life,100,200,1234,0.4,8,1.7721918600000208,No
pthread_life,100,200,1234,0.4,16,1.666053770997678,No
pthread_life,100,200,5678,0.2,1,1.5205607380012225,No
pthread_life,100,200,5678,0.2,2,1.661846464001428,No
pthread_life,100,200,5678,0.2,4,1.6861763390006672,No
pthread_life,100,200,5678,0.2,8,1.6634410879996722,No
pthread_life,100,200,5678,0.2,16,1.6848317330004647,No
pthread_life,100,200,5678,0.4,1,1.727207620999252,No
pthread_life,100,200,5678,0.4,2,1.7148164120008005,No
pthread_life,100,200,5678,0.4,4,1.741426857002807,No
pthread_life,100,200,5678,0.4,8,1.7465503380008158,No
pthread_life,100,200,5678,0.4,16,1.7172716419991048,No
pthread_life,100,300,1234,0.2,1,1.5869681799995305,No
pthread_life,100,300,1234,0.2,2,1.8044562569994014,No
pthread_life,100,300,1234,0.2,4,1.7869335900031729,No
pthread_life,100,300,1234,0.2,8,1.7631566079980985,No
pthread_life,100,300,1234,0.2,16,1.6404866720004065,No
pthread_life,100,300,1234,0.4,1,1.7336845659992832,No
pthread_life,100,300,1234,0.4,2,1.6587557300008484,No
pthread_life,100,300,1234,0.4,4,1.7970950620001531,No
pthread_life,100,300,1234,0.4,8,1.6070389250016888,No
pthread_life,100,300,1234,0.4,16,1.7492043159982131,No
pthread_life,100,300,5678,0.2,1,1.5570614229982311,No
pthread_life,100,300,5678,0.2,2,1.684884100999625,No
pthread_life,100,300,5678,0.2,4,1.635479281998414,No
pthread_life,100,300,5678,0.2,8,1.5012658370033023,No
pthread_life,100,300,5678,0.2,16,1.578058642000542,No
pthread_life,100,300,5678,0.4,1,1.7198252329981187,No
pthread_life,100,300,5678,0.4,2,1.6158350859986967,No
pthread_life,100,300,5678,0.4,4,1.5660727649992623,No
pthread_life,100,300,5678,0.4,8,1.844318449999264,No
pthread_life,100,300,5678,0.4,16,1.751922782001202,No
pthread_life,100,400,1234,0.2,1,1.8554166100002476,No
pthread_life,100,400,1234,0.2,2,1.8823620149996714,No
pthread_life,100,400,1234,0.2,4,1.7515109039995878,No
pthread_life,100,400,1234,0.2,8,1.6945455380009662,No
pthread_life,100,400,1234,0.2,16,1.8452153489997727,No
pthread_life,100,400,1234,0.4,1,1.8534444290016836,No
pthread_life,100,400,1234,0.4,2,1.7569880240007478,No
pthread_life,100,400,1234,0.4,4,1.6893841040000552,No
pthread_life,100,400,1234,0.4,8,1.7040085770022415,No
pthread_life,100,400,1234,0.4,16,1.6689643879981304,No
pthread_life,100,400,5678,0.2,1,1.6573232109985838,No
pthread_life,100,400,5678,0.2,2,1.6329338270006701,No
pthread_life,100,400,5678,0.2,4,1.5789681109999947,No
pthread_life,100,400,5678,0.2,8,1.784690568001679,No
pthread_life,100,400,5678,0.2,16,1.8224216460002935,No
pthread_life,100,400,5678,0.4,1,1.7039246070016816,No
pthread_life,100,400,5678,0.4,2,1.6262735570016957,No
pthread_life,100,400,5678,0.4,4,1.753727176997927,No
pthread_life,100,400,5678,0.4,8,1.7166308779997053,No
pthread_life,100,400,5678,0.4,16,1.7041803520005487,No
